Date	SPX Index	RACE IM Equity	RACE US Equity	F US Equity	AAPL US Equity	NOKIA FH Equity	EURUSD Curncy
41316	1517.01	#N/A N/A	#N/A N/A	13.11	17.1404	3.074	1.3406
41317	1519.43	#N/A N/A	#N/A N/A	13.08	16.7107	3.074	1.3454
41318	1520.33	#N/A N/A	#N/A N/A	13.04	16.6789	3.022	1.3452
41319	1521.38	#N/A N/A	#N/A N/A	13.11	16.6639	2.936	1.3363
41320	1519.79	#N/A N/A	#N/A N/A	13.02	16.4343	2.992	1.336
41324	1530.94	#N/A N/A	#N/A N/A	12.99	16.4282	2.96	1.3388
41325	1511.95	#N/A N/A	#N/A N/A	12.6	16.0304	2.856	1.3283
41326	1502.42	#N/A N/A	#N/A N/A	12.39	15.9307	2.826	1.319
41327	1515.6	#N/A N/A	#N/A N/A	12.48	16.1004	2.846	1.3194
41330	1487.85	#N/A N/A	#N/A N/A	12.13	15.8143	2.874	1.3063
41331	1496.94	#N/A N/A	#N/A N/A	12.34	16.0346	2.722	1.3061
41332	1515.99	#N/A N/A	#N/A N/A	12.76	15.8775	2.856	1.3139
41333	1514.68	#N/A N/A	#N/A N/A	12.61	15.7643	2.776	1.3057
41334	1518.2	#N/A N/A	#N/A N/A	12.61	15.3739	2.722	1.3022
41337	1525.2	#N/A N/A	#N/A N/A	12.75	15.0018	2.654	1.3026
41338	1539.79	#N/A N/A	#N/A N/A	12.87	15.398	2.728	1.3052
41339	1541.46	#N/A N/A	#N/A N/A	12.89	15.2022	2.746	1.2967
41340	1544.26	#N/A N/A	#N/A N/A	12.83	15.3779	2.79	1.3107
41341	1551.18	#N/A N/A	#N/A N/A	12.98	15.4186	2.816	1.3005
41344	1556.22	#N/A N/A	#N/A N/A	13.34	15.6382	2.75	1.3046
41345	1552.48	#N/A N/A	#N/A N/A	13.39	15.3011	2.73	1.3034
41346	1554.52	#N/A N/A	#N/A N/A	13.4	15.2982	2.676	1.2961
41347	1563.23	#N/A N/A	#N/A N/A	13.43	15.4464	2.68	1.3005
41348	1560.7	#N/A N/A	#N/A N/A	13.45	15.845	2.58	1.3076
41351	1552.1	#N/A N/A	#N/A N/A	13.26	16.2757	2.58	1.2957
41352	1548.34	#N/A N/A	#N/A N/A	13.16	16.2318	2.588	1.2882
41353	1558.71	#N/A N/A	#N/A N/A	13.36	16.1457	2.608	1.2933
41354	1545.8	#N/A N/A	#N/A N/A	13.26	16.1689	2.636	1.2899
41355	1556.89	#N/A N/A	#N/A N/A	13.26	16.4968	2.572	1.2989
41358	1551.69	#N/A N/A	#N/A N/A	13.29	16.5564	2.47	1.2853
41359	1563.77	#N/A N/A	#N/A N/A	13.31	16.4691	2.53	1.2861
41360	1562.85	#N/A N/A	#N/A N/A	13.22	16.1457	2.538	1.278
41361	1569.19	#N/A N/A	#N/A N/A	13.15	15.8093	2.524	1.2816
41365	1562.17	#N/A N/A	#N/A N/A	12.9	15.3182	2.524	1.2849
41366	1570.25	#N/A N/A	#N/A N/A	13.01	15.3497	2.512	1.282
41367	1553.69	#N/A N/A	#N/A N/A	12.68	15.4282	2.548	1.285
41368	1559.98	#N/A N/A	#N/A N/A	12.65	15.2757	2.6	1.2936
41369	1553.28	#N/A N/A	#N/A N/A	12.44	15.1143	2.56	1.2991
41372	1563.07	#N/A N/A	#N/A N/A	12.78	15.2218	2.51	1.3009
41373	1568.61	#N/A N/A	#N/A N/A	12.8	15.2493	2.524	1.3083
41374	1587.73	#N/A N/A	#N/A N/A	13.12	15.5604	2.606	1.307
41375	1593.37	#N/A N/A	#N/A N/A	13.55	15.5118	2.658	1.3099
41376	1588.85	#N/A N/A	#N/A N/A	13.53	15.35	2.618	1.3113
41379	1552.36	#N/A N/A	#N/A N/A	12.95	14.9946	2.584	1.3036
41380	1574.57	#N/A N/A	#N/A N/A	13.12	15.2229	2.598	1.3177
41381	1552.01	#N/A N/A	#N/A N/A	12.925	14.3857	2.634	1.3032
41382	1541.61	#N/A N/A	#N/A N/A	12.75	14.0018	2.416	1.3051
41383	1555.25	#N/A N/A	#N/A N/A	12.93	13.9475	2.312	1.3052
41386	1562.5	#N/A N/A	#N/A N/A	13.06	14.2382	2.392	1.3066
41387	1578.78	#N/A N/A	#N/A N/A	13.36	14.5046	2.412	1.2996
41388	1578.79	#N/A N/A	#N/A N/A	13.33	14.4808	2.454	1.3015
41389	1585.16	#N/A N/A	#N/A N/A	13.47	14.585	2.542	1.3011
41390	1582.24	#N/A N/A	#N/A N/A	13.67	14.9002	2.504	1.303
41393	1593.61	#N/A N/A	#N/A N/A	13.66	15.3614	2.53	1.3099
41394	1597.57	#N/A N/A	#N/A N/A	13.71	15.8136	2.544	1.3168
41395	1582.7	#N/A N/A	#N/A N/A	13.38	15.6889	2.544	1.318
41396	1597.59	#N/A N/A	#N/A N/A	13.41	15.9114	2.494	1.3065
41397	1614.42	#N/A N/A	#N/A N/A	13.83	16.0707	2.534	1.3114
41400	1617.5	#N/A N/A	#N/A N/A	14.09	16.4539	2.602	1.3076
41401	1625.96	#N/A N/A	#N/A N/A	14.19	16.3806	2.71	1.3079
41402	1632.69	#N/A N/A	#N/A N/A	14.21	16.5657	2.718	1.3153
41403	1626.67	#N/A N/A	#N/A N/A	14.2	16.3132	2.718	1.3043
41404	1633.7	#N/A N/A	#N/A N/A	14.11	16.1775	2.82	1.2989
41407	1633.77	#N/A N/A	#N/A N/A	14.01	16.2407	2.942	1.2975
41408	1650.34	#N/A N/A	#N/A N/A	14.27	15.8521	2.79	1.292
41409	1658.78	#N/A N/A	#N/A N/A	14.67	15.3161	2.92	1.2887
41410	1650.47	#N/A N/A	#N/A N/A	14.64	15.5206	2.91	1.2882
41411	1667.47	#N/A N/A	#N/A N/A	15.08	15.4736	2.91	1.2839
41414	1666.29	#N/A N/A	#N/A N/A	15.05	15.8189	2.93	1.2882
41415	1669.16	#N/A N/A	#N/A N/A	14.95	15.7021	2.928	1.2906
41416	1655.35	#N/A N/A	#N/A N/A	14.97	15.7626	2.914	1.2858
41417	1650.51	#N/A N/A	#N/A N/A	14.81	15.7907	2.788	1.2934
41418	1649.6	#N/A N/A	#N/A N/A	14.79	15.8982	2.78	1.2932
41422	1660.06	#N/A N/A	#N/A N/A	15.28	15.7657	2.804	1.2856
41423	1648.36	#N/A N/A	#N/A N/A	15.63	15.8911	2.78	1.2941
41424	1654.41	#N/A N/A	#N/A N/A	15.9	16.1279	2.692	1.305
41425	1630.74	#N/A N/A	#N/A N/A	15.68	16.062	2.642	1.2999
41428	1640.42	#N/A N/A	#N/A N/A	15.89	16.0971	2.64	1.3076
41429	1631.38	#N/A N/A	#N/A N/A	15.78	16.0468	2.706	1.3081
41430	1608.9	#N/A N/A	#N/A N/A	15.25	15.8968	2.646	1.3093
41431	1622.56	#N/A N/A	#N/A N/A	15.44	15.6593	2.646	1.3246
